issue,buoy,n_hours,mae_kn,bias_kn,obs_fav_hours,obs_fav_mean_kn,fcst_fav_mean_kn,d_fav_kn,airport_offset_kn,airport_offset_fav_kn,retrieved_utc
2026-08-09,45023,128,2.57,-1.48,59,10.08,8.34,-1.74,-2.79,-3.79,2026-08-09T00:02:39Z
2026-08-09,45027,245,3.0,-1.52,191,7.81,6.39,-1.41,-1.13,-1.62,2026-08-09T00:29:22Z
2026-08-09,45023,128,2.57,-1.48,59,10.08,8.34,-1.74,-2.79,-3.79,2026-08-09T00:29:22Z
2026-08-09,45027,281,2.78,-1.24,227,7.82,6.73,-1.09,-0.67,-0.97,2026-08-09T01:29:35Z
2026-08-09,45023,131,2.53,-1.47,59,10.08,8.34,-1.74,-2.8,-3.79,2026-08-09T01:29:35Z
2026-08-09,45027,287,2.77,-1.18,229,7.78,6.72,-1.05,-0.6,-0.93,2026-08-09T02:30:17Z
2026-08-09,45023,134,2.49,-1.46,60,10.08,8.36,-1.71,-2.83,-3.79,2026-08-09T02:30:17Z
2026-08-09,45027,287,2.77,-1.21,229,7.78,6.72,-1.06,-0.6,-0.93,2026-08-09T02:44:05Z
2026-08-09,45023,134,2.51,-1.48,60,10.08,8.34,-1.73,-2.83,-3.79,2026-08-09T02:44:05Z
2026-08-09,45027,341,2.52,-0.95,234,7.67,6.66,-1.01,-0.41,-0.88,2026-08-09T12:55:56Z
2026-08-09,45023,158,2.61,-1.36,63,9.97,8.14,-1.82,-2.95,-3.86,2026-08-09T12:55:56Z
2026-08-09,45027,341,2.52,-0.95,234,7.67,6.66,-1.01,-0.41,-0.88,2026-08-09T13:52:12Z
2026-08-09,45023,161,2.6,-1.32,63,9.97,8.14,-1.82,-2.93,-3.86,2026-08-09T13:52:12Z
2026-08-09,45027,341,2.52,-0.95,234,7.67,6.66,-1.01,-0.41,-0.88,2026-08-09T14:47:34Z
2026-08-09,45023,163,2.61,-1.4,63,9.97,8.14,-1.82,-2.87,-3.86,2026-08-09T14:47:34Z
2026-08-09,45027,341,2.52,-0.95,234,7.67,6.66,-1.01,-0.41,-0.88,2026-08-09T15:04:34Z
2026-08-09,45023,163,2.61,-1.4,63,9.97,8.14,-1.82,-2.87,-3.86,2026-08-09T15:04:34Z
2026-08-09,45027,362,2.48,-0.79,234,7.67,6.66,-1.01,-0.33,-0.88,2026-08-09T15:26:55Z
2026-08-09,45023,168,2.61,-1.43,63,9.97,8.14,-1.82,-2.8,-3.86,2026-08-09T15:26:55Z
2026-08-09,45027,362,2.48,-0.79,234,7.67,6.66,-1.01,-0.33,-0.88,2026-08-09T16:19:38Z
2026-08-09,45023,169,2.64,-1.47,63,9.97,8.14,-1.82,-2.79,-3.86,2026-08-09T16:19:38Z
2026-08-09,45027,362,2.48,-0.79,234,7.67,6.66,-1.01,-0.33,-0.88,2026-08-09T16:35:49Z
2026-08-09,45023,169,2.64,-1.47,63,9.97,8.14,-1.82,-2.79,-3.86,2026-08-09T16:35:49Z
2026-08-09,45027,362,2.48,-0.79,234,7.67,6.66,-1.01,-0.33,-0.88,2026-08-09T16:50:08Z
2026-08-09,45023,169,2.64,-1.47,63,9.97,8.14,-1.82,-2.79,-3.86,2026-08-09T16:50:08Z
2026-08-09,45027,362,2.48,-0.79,234,7.67,6.66,-1.01,-0.33,-0.88,2026-08-09T17:07:20Z
2026-08-09,45023,174,2.64,-1.49,63,9.97,8.14,-1.82,-2.68,-3.86,2026-08-09T17:07:20Z
